oob_policy_mode,boundary_mode,value_representation,dtype,scheme,interp,L,n__count,in_mae__mean,in_max_abs__mean,oob_mae__mean,oob_max_abs__mean,out_mae__mean,out_max_abs__mean,oob_any_frac__mean,bspline_numpy_vs_float_max_abs__mean,bspline_numba_vs_float_max_abs__mean,in_mae__std,in_max_abs__std,oob_mae__std,oob_max_abs__std,out_mae__std,out_max_abs__std,oob_any_frac__std,bspline_numpy_vs_float_max_abs__std,bspline_numba_vs_float_max_abs__std,in_mae__ci95,in_max_abs__ci95,oob_mae__ci95,oob_max_abs__ci95,out_mae__ci95,out_max_abs__ci95,oob_any_frac__ci95,bspline_numpy_vs_float_max_abs__ci95,bspline_numba_vs_float_max_abs__ci95
clip_x,closed,spline_component,int8,symmetric,linear,64,5,1.8392534911981784e-05,8.75759869813919e-05,1.7207413839059883e-05,8.653998374938965e-05,1.7724058488965964e-05,8.895881474018097e-05,0.565234375,2.384185791015625e-07,2.5033950805664064e-07,2.535761560635719e-07,4.330393199717325e-06,1.9045296603957714e-07,9.802314108883105e-07,1.7682617189402282e-07,2.3055460200667634e-06,0.009603140444483996,7.300048299977713e-08,7.771494871619521e-08,2.2226930079304692e-07,3.795756997037338e-06,1.6693938520373372e-07,8.592107148233015e-07,1.549949734979903e-07,2.0209001894403637e-06,0.008417523733886753,6.398774461210521e-08,6.812015601335042e-08
clip_x,half_open,spline_component,int8,symmetric,linear,64,5,1.839252763602417e-05,8.75759869813919e-05,1.720741893223021e-05,8.653998374938965e-05,1.7724058488965964e-05,8.895881474018097e-05,0.565234375,2.384185791015625e-07,2.5033950805664064e-07,2.5357821072239823e-07,4.330393199717325e-06,1.9045925775778509e-07,9.802314108883105e-07,1.7683633985633972e-07,2.3055460200667634e-06,0.009603140444483996,7.300048299977713e-08,7.771494871619521e-08,2.22271101780915e-07,3.795756997037338e-06,1.6694490013790016e-07,8.592107148233015e-07,1.5500388610992414e-07,2.0209001894403637e-06,0.008417523733886753,6.398774461210521e-08,6.812015601335042e-08
zero_spline,closed,spline_component,int8,symmetric,linear,64,5,1.8392531637800856e-05,8.75759869813919e-05,1.7207421115017497e-05,8.653998374938965e-05,1.772406103555113e-05,8.895881474018097e-05,0.565234375,2.384185791015625e-07,2.5033950805664064e-07,2.5358280447009686e-07,4.330393199717325e-06,1.9044944931294972e-07,9.802314108883105e-07,1.7682199176812824e-07,2.3055460200667634e-06,0.009603140444483996,7.300048299977713e-08,7.771494871619521e-08,2.2227512837830822e-07,3.795756997037338e-06,1.669363026569332e-07,8.592107148233015e-07,1.5499130945609362e-07,2.0209001894403637e-06,0.008417523733886753,6.398774461210521e-08,6.812015601335042e-08
zero_spline,half_open,spline_component,int8,symmetric,linear,64,5,1.839252763602417e-05,8.75759869813919e-05,1.720741893223021e-05,8.653998374938965e-05,1.7724058488965964e-05,8.895881474018097e-05,0.565234375,2.384185791015625e-07,2.5033950805664064e-07,2.5357821072239823e-07,4.330393199717325e-06,1.9045925775778509e-07,9.802314108883105e-07,1.7683633985633972e-07,2.3055460200667634e-06,0.009603140444483996,7.300048299977713e-08,7.771494871619521e-08,2.22271101780915e-07,3.795756997037338e-06,1.6694490013790016e-07,8.592107148233015e-07,1.5500388610992414e-07,2.0209001894403637e-06,0.008417523733886753,6.398774461210521e-08,6.812015601335042e-08
