L,batch,backend,representation,mean_ms,std_ms,median_ms,min_ms,max_ms,ms_per_sample,matched_speedup_vs_bspline,stack_speedup_vs_pytorch,warmup,iters
16,1,PyTorch,Float PyKAN,269.27105600000004,28.740197600064825,255.3091,228.2725,352.6309,269.27105600000004,,1.0,10,100
16,1,NumPy,B-spline,1235.7078399999998,169.61732250106445,1208.85465,819.8174,1640.9301,1235.7078399999998,1.0,0.2179083495982352,10,100
16,1,NumPy,LUT,14.548463000000002,0.8243408057173363,14.38825,13.1722,19.0817,14.548463000000002,84.93734630249254,18.508556952029917,10,100
16,1,Numba,B-spline,1.187387,0.20084746745435522,1.11585,0.8558,2.1601,1.187387,1.0,226.77615301498167,10,100
16,1,Numba,LUT,0.050161999999999984,0.027828826635688253,0.0415,0.0409,0.2753,0.050161999999999984,23.67104581157052,5368.0287069893575,10,100
16,16,PyTorch,Float PyKAN,300.654603,9.922020536063798,301.34195,277.1093,340.4805,18.7909126875,,1.0,10,100
16,16,NumPy,B-spline,1122.0640500000002,123.0376271588234,1153.0163,823.5109,1392.8297,70.12900312500001,1.0,0.2679478083269845,10,100
16,16,NumPy,LUT,11.516023999999998,0.5552065599996694,11.6787,10.5147,13.1,0.7197514999999999,97.43502184434492,26.10750055748408,10,100
16,16,Numba,B-spline,4.562250000000001,0.24188497036585158,4.4653,4.3811,6.1636,0.28514062500000004,1.0,65.90051027453559,10,100
16,16,Numba,LUT,0.24839299999999997,0.09311334599846739,0.22744999999999999,0.2253,0.9411,0.015524562499999998,18.367063484075643,1210.3988558453743,10,100
16,256,PyTorch,Float PyKAN,231.44956,13.88616613559893,234.2692,201.3685,254.2001,0.90409984375,,1.0,10,100
16,256,NumPy,B-spline,1181.3638879999999,224.51594058621717,1318.7636499999999,926.9853,1565.5929,4.6147026874999995,1.0,0.1959172464564111,10,100
16,256,NumPy,LUT,27.988211,3.0621537641226158,27.0953,25.3154,40.3384,0.10932894921875,42.20933906779536,8.269537484907485,10,100
16,256,Numba,B-spline,88.76697399999999,2.269095541195819,88.0223,85.0757,95.1332,0.34674599218749996,1.0,2.6073836875412697,10,100
16,256,Numba,LUT,4.9824,0.3405720558890956,4.8808,4.0852,5.9457,0.0194625,17.816107498394345,46.45342806679511,10,100
16,1024,PyTorch,Float PyKAN,402.56030100000004,17.938396034275865,396.20195,371.1659,451.2985,0.39312529394531254,,1.0,10,100
16,1024,NumPy,B-spline,1658.7109359999997,233.79280009068918,1742.1267,1170.2781,1957.7309,1.6198348984374997,1.0,0.24269466865081313,10,100
16,1024,NumPy,LUT,50.16435799999999,2.231957664698428,49.42145,48.2523,63.3585,0.04898863085937499,33.065527042128195,8.024827129253804,10,100
16,1024,Numba,B-spline,295.56285699999995,52.162426090572076,256.7252,246.9625,374.9918,0.28863560253906245,1.0,1.362012483862274,10,100
16,1024,Numba,LUT,20.884352,1.6918061098211823,20.35745,18.8418,28.1714,0.020394875,14.152359479480136,19.27569028715854,10,100
32,1,PyTorch,Float PyKAN,255.00934,17.79627047613055,251.0054,234.4983,358.9061,255.00934,,1.0,10,100
32,1,NumPy,B-spline,1068.10783,175.8801177645978,1156.8866,797.7143,1323.3748,1068.10783,1.0,0.2387486851397766,10,100
32,1,NumPy,LUT,15.746607000000001,1.7026407093993845,15.29155,13.8061,23.4428,15.746607000000001,67.83098289047284,16.194557976839075,10,100
32,1,Numba,B-spline,1.2002140000000001,0.1818796977358519,1.16365,0.8337,2.0965,1.2002140000000001,1.0,212.469892869105,10,100
32,1,Numba,LUT,0.045686,0.008585000073536766,0.0446,0.0296,0.0839,0.045686,26.270936391892487,5581.783040756469,10,100
