method,L,threshold,n,benign_n,attack_n,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Float PyKAN,,0.5,92430,46215,46215,0.9899599697068051,0.9843840246432927,0.9957156767283349,0.9900174264753341,0.9991062566431406,0.9990539623962672,45485,730,198,46017
LUT NumPy,16,0.5,92430,46215,46215,0.9899707887049659,0.9844050827878321,0.9957156767283349,0.9900280762900571,0.9991060604661317,0.9990537665928381,45486,729,198,46017
LUT Numba,16,0.5,92430,46215,46215,0.9899707887049659,0.9844050827878321,0.9957156767283349,0.9900280762900571,0.9991060602320303,0.9990537656690439,45486,729,198,46017
LUT NumPy,32,0.5,92430,46215,46215,0.9899707887049659,0.9844050827878321,0.9957156767283349,0.9900280762900571,0.9991062655389953,0.9990539764378024,45486,729,198,46017
LUT Numba,32,0.5,92430,46215,46215,0.9899707887049659,0.9844050827878321,0.9957156767283349,0.9900280762900571,0.9991062655389954,0.9990539758312191,45486,729,198,46017
LUT NumPy,64,0.5,92430,46215,46215,0.9899599697068051,0.9843840246432927,0.9957156767283349,0.9900174264753341,0.9991063713528472,0.9990540957131064,45485,730,198,46017
LUT Numba,64,0.5,92430,46215,46215,0.9899599697068051,0.9843840246432927,0.9957156767283349,0.9900174264753341,0.9991063713528473,0.9990540953745155,45485,730,198,46017
LUT NumPy,128,0.5,92430,46215,46215,0.9899599697068051,0.9843840246432927,0.9957156767283349,0.9900174264753341,0.9991064130229041,0.9990541360447899,45485,730,198,46017
LUT Numba,128,0.5,92430,46215,46215,0.9899599697068051,0.9843840246432927,0.9957156767283349,0.9900174264753341,0.9991064130229039,0.9990541356377723,45485,730,198,46017
