results_path,run_dir,exp_name,scheme,dtype,seed,value_representation,boundary_mode,interp,oob_policy_mode,L,out_mae,out_rmse,out_max_abs,in_mae,in_rmse,in_max_abs,oob_mae,oob_rmse,oob_max_abs,oob_any_frac,bspline_numpy_vs_float_max_abs,bspline_numba_vs_float_max_abs,ms_float,ms_ref,ms_bspline_numpy,ms_bspline_numba,ms_lut_numpy,ms_lut_numba,speedup_lut_numpy_vs_bspline_numpy,speedup_lut_numba_vs_bspline_numba,model_bytes,lut_bytes,lut_over_model
outputs\ncaa_r1_controlled\runs\s0_L64_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s0_L64_uint8_asymmetric_closed_clip_x,asymmetric,uint8,0,spline_component,closed,linear,clip_x,64,9.71934241533745e-06,1.2336055078776553e-05,5.07161021232605e-05,9.71934241533745e-06,1.2336055078776553e-05,5.07161021232605e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,26.76076899995678,11.530217999970773,40.3575290000299,7.2170209999603685,2.819166000117548,0.7953860000998247,14.315414203472642,9.073608284599675,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s0_L64_uint8_asymmetric_half_open_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_uint8_asymmetric_half_open_clip_x\run_000,ncaa_r1_s0_L64_uint8_asymmetric_half_open_clip_x,asymmetric,uint8,0,spline_component,half_open,linear,clip_x,64,9.71936242422089e-06,1.2336071449681185e-05,5.07161021232605e-05,9.895403309201356e-06,1.2569528735184576e-05,5.07161021232605e-05,9.384734767081682e-06,1.1879662451974582e-05,4.70280647277832e-05,0.3447265625,2.384185791015625e-07,2.384185791015625e-07,27.86570700001903,14.805052000010619,55.52833900001133,9.709382000000915,3.1836310001381207,0.7948140001099091,17.441826328994235,12.215917181451603,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s1_L128_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L128_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s1_L128_int8_symmetric_closed_clip_x,symmetric,int8,1,spline_component,closed,linear,clip_x,128,1.7577609469299205e-05,2.202688301622402e-05,8.32974910736084e-05,1.7577609469299205e-05,2.202688301622402e-05,8.32974910736084e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,29.583880999998655,13.529324999981327,57.433997000043746,10.021517999994103,3.3227520000946242,0.8671100001083687,17.285068821990976,11.557377955209425,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s1_L128_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L128_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s1_L128_uint8_asymmetric_closed_clip_x,asymmetric,uint8,1,spline_component,closed,linear,clip_x,128,9.582370694261044e-06,1.221596721734386e-05,5.270540714263916e-05,9.582370694261044e-06,1.221596721734386e-05,5.270540714263916e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,28.738128000113647,13.435519999911776,62.36342499993043,9.741469000000507,3.196282999997493,0.8256189999519847,19.511233830039252,11.798988396060457,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s1_L16_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L16_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s1_L16_int8_symmetric_closed_clip_x,symmetric,int8,1,spline_component,closed,linear,clip_x,16,2.0381890863063745e-05,2.5828527213889174e-05,0.00010779872536659241,2.0381890863063745e-05,2.5828527213889174e-05,0.00010779872536659241,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,30.085691999993287,14.306704000046011,62.11261200005538,10.154018000030192,3.7372779998986516,0.8643650000158232,16.619746243586846,11.747372926766252,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s1_L16_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L16_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s1_L16_uint8_asymmetric_closed_clip_x,asymmetric,uint8,1,spline_component,closed,linear,clip_x,16,1.448545117455069e-05,1.853955109254457e-05,8.872151374816895e-05,1.448545117455069e-05,1.853955109254457e-05,8.872151374816895e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,28.28782800002955,13.076676999917254,65.89154599991161,10.319264999998268,2.969163999950979,0.7871210000303108,22.191952347866096,13.110138084996956,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s1_L32_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L32_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s1_L32_int8_symmetric_closed_clip_x,symmetric,int8,1,spline_component,closed,linear,clip_x,32,1.7447608115617186e-05,2.205333839810919e-05,9.306520223617554e-05,1.7447608115617186e-05,2.205333839810919e-05,9.306520223617554e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,28.538179000024684,12.261145999946166,58.84255299999495,9.821235999988858,2.8213349998986814,0.7969969999976456,20.856280095099688,12.322801716967405,6808,40380,5.931257344300823
outputs\ncaa_r1_controlled\runs\s1_L32_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L32_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s1_L32_uint8_asymmetric_closed_clip_x,asymmetric,uint8,1,spline_component,closed,linear,clip_x,32,1.0015653970185667e-05,1.2717998288280796e-05,5.70639967918396e-05,1.0015653970185667e-05,1.2717998288280796e-05,5.70639967918396e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,26.78080300000147,11.716138000047067,60.862963999970816,9.912006999948062,2.935562999919057,0.7938640000065789,20.732978308300318,12.485774641331412,6808,40380,5.931257344300823
outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s1_L64_int8_symmetric_closed_clip_x,symmetric,int8,1,spline_component,closed,linear,clip_x,64,1.7575053789187223e-05,2.2073594664107077e-05,8.9988112449646e-05,1.7575053789187223e-05,2.2073594664107077e-05,8.9988112449646e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,28.473617999989074,12.29050100009772,54.82367899996461,9.83228600001894,3.001922000112245,0.8572129999811295,18.262859260805143,11.47006170022548,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_closed_zero_spline\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_closed_zero_spline\run_000,ncaa_r1_s1_L64_int8_symmetric_closed_zero_spline,symmetric,int8,1,spline_component,closed,linear,zero_spline,64,1.7575086530996487e-05,2.207363286288455e-05,8.9988112449646e-05,1.7575086530996487e-05,2.207363286288455e-05,8.9988112449646e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,27.58245299992268,9.451178000017535,64.63463299995055,10.426563000073656,2.4537160000181757,0.5926809999800753,26.341529744873398,17.592200526799704,6808,76220,11.195652173913043
