oob_policy_mode,boundary_mode,value_representation,dtype,scheme,interp,L,n__count,in_max_abs__mean,in_mae__mean,oob_max_abs__mean,oob_any_frac__mean,speedup_lut_numba_vs_bspline_numba__mean,speedup_lut_numpy_vs_bspline_numpy__mean,lut_bytes__mean,lut_over_model__mean,in_max_abs__std,in_mae__std,oob_max_abs__std,oob_any_frac__std,speedup_lut_numba_vs_bspline_numba__std,speedup_lut_numpy_vs_bspline_numpy__std,lut_bytes__std,lut_over_model__std,in_max_abs__ci95,in_mae__ci95,oob_max_abs__ci95,oob_any_frac__ci95,speedup_lut_numba_vs_bspline_numba__ci95,speedup_lut_numpy_vs_bspline_numpy__ci95,lut_bytes__ci95,lut_over_model__ci95
clip_x,closed,spline_component,int8,symmetric,linear,16,5,0.00011324957013130188,2.0570815104292704e-05,0.0,0.0,11.885627925654203,18.474186141614588,22460.0,3.2990599294947116,1.3171094675648934e-05,3.0157672693578957e-07,0.0,0.0,0.7257891332623678,2.4487820820091324,0.0,0.0,1.1544973508871931e-05,2.643436562492444e-07,0.0,0.0,0.6361822250076807,2.1464521334027067,0.0,0.0
clip_x,closed,spline_component,int8,symmetric,linear,32,5,9.744055569171906e-05,1.796394535631407e-05,0.0,0.0,12.43504142195054,20.225888695734486,40380.0,5.931257344300823,1.226175538527665e-05,2.962782830231975e-07,0.0,0.0,0.5027556552372527,1.2193972563073334,0.0,0.0,1.0747902477461462e-05,2.5969936538994226e-07,0.0,0.0,0.44068476190371453,1.0688488214185332,0.0,0.0
clip_x,closed,spline_component,int8,symmetric,linear,64,5,8.895285427570342e-05,1.7723924247547985e-05,0.0,0.0,12.09069847151573,20.511525790568644,76220.0,11.195652173913043,2.3109678554094764e-06,1.767866171884354e-07,0.0,0.0,0.38826333418819414,2.0923300945451953,0.0,0.0,2.0256526376568977e-06,1.549603022698651e-07,0.0,0.0,0.3403278176988839,1.8340081905264745,0.0,0.0
clip_x,closed,spline_component,int8,symmetric,linear,128,5,9.008347988128662e-05,1.775537930370774e-05,0.0,0.0,11.467229186309208,18.800155008897285,147900.0,21.724441833137487,4.962149324680344e-06,2.840498621931775e-07,0.0,0.0,0.5063801908474421,2.3324437780922276,0.0,0.0,4.349515656160049e-06,2.489806819384498e-07,0.0,0.0,0.4438618074441254,2.0444771138721767,0.0,0.0
clip_x,closed,spline_component,uint8,asymmetric,linear,16,5,8.38160514831543e-05,1.4336888489197008e-05,0.0,0.0,12.167554218255896,18.565256430374358,22460.0,3.2990599294947116,8.91300223531691e-06,5.973020524872611e-07,0.0,0.0,1.0575290136492863,2.387165041247716,0.0,0.0,7.812590921656265e-06,5.235583330449719e-07,0.0,0.0,0.926965050977658,2.092442415850465,0.0,0.0
clip_x,closed,spline_component,uint8,asymmetric,linear,32,5,6.0741603374481204e-05,1.0025877418229357e-05,0.0,0.0,13.024551990557006,21.978712372325564,40380.0,5.931257344300823,4.075778001365565e-06,1.5922573237787263e-07,0.0,0.0,1.0523865507680865,1.8953514152300737,0.0,0.0,3.5725769355226403e-06,1.3956750805473208e-07,0.0,0.0,0.9224574835205981,1.6613487654363108,0.0,0.0
clip_x,closed,spline_component,uint8,asymmetric,linear,64,5,5.723237991333008e-05,9.733083970786538e-06,0.0,0.0,12.082323562719033,17.645517616622822,76220.0,11.195652173913043,8.13862049415067e-06,1.952570457144618e-07,0.0,0.0,1.9051311906286195,2.172634081242659,0.0,0.0,7.13381539785358e-06,1.7115034670290167e-07,0.0,0.0,1.6699211165338756,1.9043977383894235,0.0,0.0
clip_x,closed,spline_component,uint8,asymmetric,linear,128,5,5.535632371902466e-05,9.725096424517687e-06,0.0,0.0,12.142963375125502,19.83359701996316,147900.0,21.724441833137487,3.527927210586852e-06,1.2432671790089538e-07,0.0,0.0,0.4226723267977058,1.5526831609297425,0.0,0.0,3.092364544517019e-06,1.0897717311717006e-07,0.0,0.0,0.370488629531649,1.3609867973803946,0.0,0.0
clip_x,half_open,spline_component,int8,symmetric,linear,64,5,8.776374161243439e-05,1.8035034736385568e-05,8.321031928062438e-05,0.3423828125,11.989778315889016,18.73380262479327,76220.0,11.195652173913043,3.9768303611518325e-06,1.562617941627269e-07,5.705252355370565e-06,0.010440544735081323,0.343024735045331,1.9301891937912952,0.0,0.0,3.48584550482805e-06,1.3696950166130338e-07,5.000874181396554e-06,0.009151540957909593,0.3006744372058841,1.6918854247271176,0.0,0.0
clip_x,half_open,spline_component,uint8,asymmetric,linear,64,5,5.647540092468262e-05,9.926443999574985e-06,4.8553943634033204e-05,0.3423828125,12.173292944447265,20.51056802205129,76220.0,11.195652173913043,9.05449260789122e-06,2.0477202106773841e-07,2.570560442596715e-06,0.010440544735081323,0.9499140007994814,3.4665586993780995,0.0,0.0,7.936612701421533e-06,1.79490590327013e-07,2.2531955728479345e-06,0.009151540957909593,0.8326363331980404,3.0385726727226534,0.0,0.0
zero_spline,closed,spline_component,int8,symmetric,linear,64,5,8.895285427570342e-05,1.7723935889080168e-05,0.0,0.0,13.111258573475364,19.348871003585344,76220.0,11.195652173913043,2.3109678554094764e-06,1.7678491500938374e-07,0.0,0.0,2.5077806647975267,3.9354441409861747,0.0,0.0,2.0256526376568977e-06,1.549588102441419e-07,0.0,0.0,2.1981666713455783,3.449568883392154,0.0,0.0
zero_spline,half_open,spline_component,int8,symmetric,linear,64,5,8.776374161243439e-05,1.8035028188023716e-05,8.321031928062438e-05,0.3423828125,11.20943806167691,16.616140920083666,76220.0,11.195652173913043,3.9768303611518325e-06,1.5627081676480455e-07,5.705252355370565e-06,0.010440544735081323,0.857717944118123,2.4700596778861814,0.0,0.0,3.48584550482805e-06,1.3697741032072257e-07,5.000874181396554e-06,0.009151540957909593,0.7518229263992395,2.1651027685080164,0.0,0.0
